Removed Pin From Net: NetName=VCC_5V Pin=*3-1
Removed Pin From Net: NetName=VCC_3V3 Pin=*3-2
Removed Pin From Net: NetName=GND_D Pin=*3-3
Removed Pin From Net: NetName=S_PD2 Pin=*3-4
Removed Pin From Net: NetName=E_IO39 Pin=*3-5
Removed Pin From Net: NetName=E_IO34 Pin=*3-6
Removed Pin From Net: NetName=E_IO35 Pin=*3-7
Removed Pin From Net: NetName=E_IO25 Pin=*3-8
Removed Member From Class: ClassName=VET6_Coreboard Member=*3
Change component parameters: Designator = "1" ("1"); Footprint = "HDR2.54-LI-20P"; UniqueID = "\BISKMIEB" ("\BISKMIEB")
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20180725/C255341_81A36CB662A838CC98585C5516D19112.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "W25Q64FWSSIG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "W25Q64FWSSIG 停产"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "WINBOND(华邦)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "W25Q64FWSSIG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "W25Q64FWSSIG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOIC-8-208mil"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C255341"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "W25Q64FWSSIG"; VariantName = "[No Variations]"
Change component parameters: Designator = "U8" ("U8"); Footprint = "USB-SMD_TYPE-C16PIN"; UniqueID = "\JRQCRXJF" ("\JRQCRXJF")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "2021-09-15/03900G/aaf837f0873f462e9eab7ac60a9bb940/aac77-74p5r.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "TYPE-C16PIN母座 板上四脚三次molding"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "TYPE-C16PIN母座 板上四脚三次molding"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "TYPE-C16PIN母座 板上四脚三次molding"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "USB-Type-C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "TYPE-C16PIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C9900000202"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "TYPE-C16PIN母座 板上四脚三次MOLDING"; VariantName = "[No Variations]"
Change component parameters: Designator = "U9" ("U9"); Footprint = "SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL"; UniqueID = "\APPMHLMB" ("\APPMHLMB")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20180725/C255341_81A36CB662A838CC98585C5516D19112.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "W25Q64FWSSIG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "W25Q64FWSSIG 停产"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "WINBOND(华邦)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "W25Q64FWSSIG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "W25Q64FWSSIG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOIC-8-208mil"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C255341"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "W25Q64FWSSIG"; VariantName = "[No Variations]"
Added Component: Designator=*(HDR2.54-LI-16P)
Add Component: Footprint Not Found HDR2.54-LI-20P
Added Pin To Net: NetName=VCC_5V Pin=*-1
Added Pin To Net: NetName=VCC_3V3 Pin=*-2
Added Pin To Net: NetName=GND_D Pin=*-3
Added Pin To Net: NetName=S_PB5 Pin=*-4
Added Pin To Net: NetName=S_PB6 Pin=*-4
Added Pin To Net: NetName=S_PB9 Pin=*-4
Added Pin To Net: NetName=S_PD3 Pin=*-4
Added Pin To Net: NetName=S_PD4 Pin=*-4
Added Pin To Net: NetName=S_PD5 Pin=*-4
Added Pin To Net: NetName=S_PD6 Pin=*-4
Added Pin To Net: NetName=S_PD7 Pin=*-4
Added Pin To Net: NetName=S_PE3 Pin=*-4
Added Pin To Net: NetName=S_PE2 Pin=*-5
Added Pin To Net: NetName=S_PE0 Pin=*-6
Added Pin To Net: NetName=S_PE1 Pin=*-7
Added Pin To Net: NetName=S_PB8 Pin=*-8
Added Pin To Net: NetName=S_PB10 Pin=4-4
Added Pin To Net: NetName=S_PB11 Pin=4-4
Added Pin To Net: NetName=S_PC5 Pin=4-4
Added Pin To Net: NetName=S_PE10 Pin=4-4
Added Pin To Net: NetName=S_PE11 Pin=4-4
Added Pin To Net: NetName=S_PE12 Pin=4-4
Added Pin To Net: NetName=S_PE13 Pin=4-4
Added Pin To Net: NetName=S_PE15 Pin=4-4
Add Pin To Net: Unknown Pin: Pin ?-1
Add Pin To Net: Unknown Pin: Pin ?-2
Add Pin To Net: Unknown Pin: Pin ?-3
Add Pin To Net: Unknown Pin: Pin ?-5
Add Pin To Net: Unknown Pin: Pin ?-6
Add Pin To Net: Unknown Pin: Pin ?-7
Add Pin To Net: Unknown Pin: Pin ?-8
Add Pin To Net: Unknown Pin: Pin ?-9
Add Pin To Net: Unknown Pin: Pin ?-10
Add Pin To Net: Unknown Pin: Pin ?-11
Add Pin To Net: Unknown Pin: Pin ?-12
Add Pin To Net: Unknown Pin: Pin ?-13
Add Pin To Net: Unknown Pin: Pin ?-14
Add Pin To Net: Unknown Pin: Pin ?-15
Add Pin To Net: Unknown Pin: Pin ?-16
Add Pin To Net: Unknown Pin: Pin ?-17
Add Pin To Net: Unknown Pin: Pin ?-18
Add Pin To Net: Unknown Pin: Pin ?-19
Add Pin To Net: Unknown Pin: Pin ?-20
Added Member To Class: ClassName=VET6_Coreboard Member=Component * 排针1*16
Added Member To Class: ClassName=VET6_Coreboard Member=Component 1 OLED-12880
Add Class Member: Failed to add class member : Component ? 2.54-1*20P直针
Added Room: Name=VET6_Coreboard
